moex
2739.28
2665.33
2559.32
2497.1
2485.27
2521.1
2369.33
2392.5
2352.71
2475.36
2345.85
2321.11
2295.95
2302.88
2307.02
2270.98
2296.8
2289.99
2109.74
2100.62
2064.31
2077.19
2022.22
1919.53
1879.5
1900.38
2016.71
1995.9
2035.77
2217.39
2232.72
2104.91
1989.64
1978
1971.59
1944.62
1891.09
1899.01
1953.05
1871.15
1840.17
1784.92
1761.36
1771.05
1711.53
1642.97
1733.17
1669
1654.55
1609.19
1688.34
1626.18
1758.97
1647.69
1396.61
1533.68
1488.47
1411.07
1400.71
1379.61
1476.38
1432.03
1306.01
1369.29
1444.71
1454.45
1504.08
1479.35
1510.21
1462.82
1364.65
1375.79
1330.46
1350.17
1385.88
1438.57
1486.04
1546.76
1474.72
1405.97
1425.7
1458.26
1422.91
1407.02
1387.52
1306.42
1473.5
1517.34
1597.67
1514.03
1402.23
1499.62
1498.6
1366.54
1546.05
1705.18
1666.59
1666.3
1741.84
1813.59
1777.84
1723.42
1687.99
1565.52
1523.39
1440.3
1368.9
1397.12
1309.31
1332.62
1436.04
1450.15
1332.64
1419.42
1370.01
1284.95
1237.18
1197.2
1091.98
1053.3
971.55
1123.38
920.35
772.93
666.05
624.9
619.53
611.32
731.96
1027.66
1348.92
1495.33
1753.67
1925.24
1667.35
1628.43
1660.42
1574.33
1888.86
1850.64
1874.73
1759.44
1677.02
1734.42
1665.96
1570.34
1697.28
1698.08
1655.25
1656.94
1693.47
1550.58
1426.86
1367.24
1448.72
1380.24
1331.39
1281.5
1486.85
1299.19
1320.83
1171.44
1011
944.55
842.52
892.5
784.28
700.65
639.98
603.89
593.88
598.04
635.38
575.74
552.22
570.76
632.97
611.03
549.28
502.81
534.84
535.4
561.78
644.64
591.09
551.72
514.71
484.73
468.85
515.17
484
430.3
455.44
421.08
369.7732
325.5564
341.5213
307.782
318.9063
321.4065
311.41
