"Дата; Цена; Откр; Макс; Мин; Изм"
"Авг. '11; 4.830; 4.830; 4.830; 4.830; 12.06"
"Июль '11; 4.310; 4.310; 4.310; 4.310; 1.41"
"Июнь '11; 4.250; 4.250; 4.250; 4.250; 0.00"
"Май '11; 4.250; 4.250; 4.250; 4.250; 10.39"
"Апр. '11; 3.850; 3.850; 3.850; 3.850; -2.78"
"Март '11; 3.960; 3.960; 3.960; 3.960; -1.25"
"Февр. '11; 4.010; 4.010; 4.010; 4.010; 0.25"
"Янв. '11; 4.000; 4.000; 4.000; 4.000; -1.48"
"Дек. '10; 4.060; 4.060; 4.060; 4.060; 0.50"
"Нояб. '10; 4.040; 4.040; 4.040; 4.040; 7.73"
"Окт. '10; 3.750; 3.750; 3.750; 3.750; 0.00"
"Сент. '10; 3.750; 3.750; 3.750; 3.750; 0.00"
"Авг. '10; 3.750; 3.750; 3.750; 3.750; -2.85"
"Июль '10; 3.860; 3.860; 3.860; 3.860; -2.03"
"Июнь '10; 3.940; 3.940; 3.940; 3.940; -8.80"
"Май '10; 4.320; 4.320; 4.320; 4.320; -1.59"
"Апр. '10; 4.390; 4.390; 4.390; 4.390; -1.79"
"Март '10; 4.470; 4.470; 4.470; 4.470; -19.02"
"Февр. '10; 5.520; 5.520; 5.520; 5.520; -7.85"
"Янв. '10; 5.990; 5.990; 5.990; 5.990; -15.04"
"Дек. '09; 7.050; 7.050; 7.050; 7.050; -7.36"
"Нояб. '09; 7.610; 7.610; 7.610; 7.610; -8.53"
"Окт. '09; 8.320; 8.320; 8.320; 8.320; -21.06"
"Сент. '09; 10.540; 10.540; 10.540; 10.540; -7.46"
"Авг. '09; 11.390; 11.390; 11.390; 11.390; -2.90"
"Июль '09; 11.730; 11.730; 11.730; 11.730; -0.76"
"Июнь '09; 11.820; 11.820; 11.820; 11.820; -5.97"
"Май '09; 12.570; 12.570; 12.570; 12.570; -21.63"
"Апр. '09; 16.040; 16.040; 16.040; 16.040; -2.79"
"Март '09; 16.500; 16.500; 16.500; 16.500; -27.47"
"Февр. '09; 22.750; 22.750; 22.750; 22.750; -17.60"
"Янв. '09; 27.610; 27.610; 27.610; 27.610; 25.50"
