индекс цен производителей пром товаров в % к прошлому месяцу(последний год 2018)
100.79
100.66
99.36
99.88
98.67
99.68
98.44
97.78
107.34
106.05
105.32
104.47
107.24
105.28
104.05
104.43
103.88
103.22
104.68
104.49
105.16
105.64
104.14
102.52
104.31
103.14
102.24
101.68
101.69
102.44
102.83
101.8
102.24
103.48
101.16
101.07
101.32
101.1
100.69
100.8
101.06
102.53
100.51
99.98
99.79
100.43
100.18
99.68
100.21
99.49
100.02
102.07
102.17
103
102.59
101.95
101.1
102.09
101.61
100.14
100.52
101.58
101.41
101.05
100.06
100.37
102.23
101.8
101.36
100.84
100.21
100.49
103.99
103.35
101.32
102.14
102.07
102.82
101.15
101.84
103.12
101.75
102.02
100.09
100.48
101.27
102.48
102.49
102.68
100.06
100.54
102
102.79
100.92
99.14
97.89
100.51
103.29
102.07
100.57
101.83
100.78
101.75
102.16
101.38
97.25
97.53
100.97
101.89
99.88
99.96
104.31
105.35
102.51
100.72
102.05
99.38
99.94
103.1
103.71
101.6
100.65
100.73
104.52
103.53
104.93
105.36
100.48
94.97
93.4
91.63
92.41
96.62
105.09
102.85
102.44
100.64
102.15
101.79
101.43
101.2
99.11
99.49
100.5
98.94
101.99
101.81
103.17
102.72
96.9
100.61
103.28
98.73
102.23
104.4
100.99
102.15
103.36
101.36
101.97
101.05
97.73
98.17
103.26
100.49
100.9
100.95
100.16
99.77
101.05
102.15
100.68
97.62
99.15
98.88
105.13
104.82
98.38
98.83
98.9
99.57
100.78
100.5
98.8
99.04
100.41
102.03
102.82
101.42
98.83
98.51
101.03
100.44
99.58
102.27
100.73
100.42
100.81
101.63
99.99
99.24
100.33
99.54
100.75
101.32
102.12
105.5
102.67
98.77
100.7
101.45
100.13
98.89
101.75
99.33
97.79
98.61
98.42
103.12
102.6
100.97
102.66
100.14
98.63
100.67
100.26
100.66
100.57
103.26
100.8
99.73
98.49
99.52
99.69
99.49
101.51
102.41
101.16
100.86
101.24
100.23
100.92
99.13
101.22
103.91
103.42
100.31
100.22
101.34
103.25
100.68
96.71
