Дата,Цена,Откр.,Макс.,Мин.,Изм. 
21.07.2019,6.920,7.200,7.200,6.890,-2.54
14.07.2019,7.100,7.130,7.220,7.060,-1.11
07.07.2019,7.180,7.240,7.240,7.070,0.00
30.06.2019,7.180,7.300,7.300,7.150,-0.83
23.06.2019,7.240,7.280,7.320,7.130,0.28
16.06.2019,7.220,7.410,7.510,7.160,-2.56
09.06.2019,7.410,7.510,7.510,7.370,-0.40
02.06.2019,7.440,7.630,7.710,7.440,-1.98
26.05.2019,7.590,7.620,7.710,7.540,-0.39
19.05.2019,7.620,7.790,7.790,7.540,-1.42
12.05.2019,7.730,7.960,7.960,7.710,-1.78
05.05.2019,7.870,7.850,7.950,7.830,0.38
28.04.2019,7.840,7.920,7.920,7.800,-1.01
21.04.2019,7.920,7.920,8.000,7.910,0.00
14.04.2019,7.920,7.930,7.930,7.880,-0.13
07.04.2019,7.930,8.000,8.010,7.870,-0.63
31.03.2019,7.980,7.880,8.050,7.880,-0.25
24.03.2019,8.000,7.920,8.000,7.850,0.88
17.03.2019,7.930,7.970,8.000,7.870,-0.75
10.03.2019,7.990,7.990,8.020,7.920,0.50
03.03.2019,7.950,7.970,8.000,7.920,-0.13
24.02.2019,7.960,8.000,8.120,7.960,-0.75
17.02.2019,8.020,7.950,8.100,7.850,1.39
10.02.2019,7.910,8.010,8.030,7.800,1.02
03.02.2019,7.830,8.000,8.000,7.790,0.26
27.01.2019,7.810,8.030,8.030,7.780,-1.64
20.01.2019,7.940,7.930,8.030,7.900,0.13
13.01.2019,7.930,8.020,8.340,7.900,-1.25
06.01.2019,8.030,8.260,8.540,7.990,-0.25
30.12.2018,8.050,8.260,8.540,8.040,-1.59
23.12.2018,8.180,8.270,8.530,8.160,-1.09
16.12.2018,8.270,8.380,8.520,8.240,-1.31
09.12.2018,8.380,8.250,8.390,8.190,1.70
02.12.2018,8.240,8.240,8.320,8.160,0.61
25.11.2018,8.190,8.370,8.450,8.190,-1.80
18.11.2018,8.340,8.480,8.480,8.220,1.09
11.11.2018,8.250,8.440,8.520,8.200,-2.48
04.11.2018,8.460,8.300,8.480,8.230,2.17
28.10.2018,8.280,8.260,8.320,8.190,0.36
21.10.2018,8.250,8.240,8.290,8.140,0.24
14.10.2018,8.230,8.330,8.330,8.090,-0.24
07.10.2018,8.250,8.080,8.340,8.080,2.10
30.09.2018,8.080,8.200,8.210,7.970,-0.12
23.09.2018,8.090,8.200,8.220,7.970,-1.34
16.09.2018,8.200,8.310,8.360,8.080,-0.73
09.09.2018,8.260,8.540,8.700,8.150,-3.28
02.09.2018,8.540,8.290,8.570,8.110,4.02
26.08.2018,8.210,8.190,8.290,8.120,0.24
19.08.2018,8.190,8.580,8.580,8.090,-2.15
12.08.2018,8.370,8.030,8.390,7.950,3.98
05.08.2018,8.050,7.590,8.160,7.590,5.92
29.07.2018,7.600,7.470,7.650,7.420,2.29
22.07.2018,7.430,7.290,7.470,7.290,0.54
15.07.2018,7.390,7.360,7.460,7.190,2.07
08.07.2018,7.240,7.320,7.460,7.190,-1.09
01.07.2018,7.320,7.360,7.460,7.310,-0.54
24.06.2018,7.360,7.640,7.640,7.310,-0.41
17.06.2018,7.390,7.260,7.650,7.220,2.07
10.06.2018,7.240,7.120,7.240,6.950,2.70
03.06.2018,7.050,6.960,7.080,6.790,1.29
27.05.2018,6.960,6.930,7.030,6.900,0.58
20.05.2018,6.920,6.980,7.050,6.900,-0.86
13.05.2018,6.980,6.900,7.140,6.790,2.20
06.05.2018,6.830,6.840,6.960,6.800,-0.58
29.04.2018,6.870,6.950,7.160,6.790,0.44
22.04.2018,6.840,6.960,6.960,6.840,-1.16
15.04.2018,6.920,7.140,7.360,6.910,-3.08
08.04.2018,7.140,6.570,7.320,6.570,9.17
01.04.2018,6.540,6.560,6.570,6.500,0.00
25.03.2018,6.540,6.510,6.570,6.460,0.77
18.03.2018,6.490,6.760,6.760,6.450,-2.55
11.03.2018,6.660,6.670,6.670,6.580,0.76
04.03.2018,6.610,6.700,6.700,6.560,-0.30
25.02.2018,6.630,6.490,6.700,6.290,4.08
18.02.2018,6.370,6.510,6.510,6.350,-1.55
11.02.2018,6.470,6.800,6.800,6.440,-4.01
04.02.2018,6.740,6.810,6.870,6.690,-0.59
28.01.2018,6.780,6.920,6.920,6.780,-1.60
21.01.2018,6.890,6.850,6.910,6.770,0.88
14.01.2018,6.830,6.880,6.880,6.730,-0.44
07.01.2018,6.860,6.990,6.990,6.660,-1.72
31.12.2017,6.980,7.160,7.160,6.870,0.00
24.12.2017,6.980,6.990,7.160,6.800,0.14
17.12.2017,6.970,7.150,7.200,6.940,-1.83
10.12.2017,7.100,7.420,7.440,7.030,-1.80
03.12.2017,7.230,7.260,7.430,7.180,-0.41
